Aad
Colin
Collin
Colyn
Conan
Conraad
Constantijn
Coos
Cor
Corné
Corneel
Cornelis
Corwin
Craig
Crescens
Crispijn
Cristoffer
Curt
Curtis
Cyril
Daaf
Daan
Damian
Damiën
Damion
Damon
Dani
Daniek
Daniël
Danny
Darcy
Dario
Darren
Darryl
Dauwe
Dave
David
Davie
Davy
Dean
Dejan
Delano
Demian
Dennis
Denny
Derek
Derian
Derk
Desley
Dick
Didler
Diede
Diederik
Diégo
Dilano
Dimitri
Dinand
Dinant
Dion
Dirk
Dirk-Pieter
Ditmar
Dolf
Domenico
Don
Donald
Donny 
Donovan
Dorus
Douglas
Douwe
Dries
Duarte
Duco
Duke
Duncan
Dustin
Dylan
Ebbe
Ebe
Ebert
Ed
Eddie
Eddo
Eddy
Eden
Edgar
Edmond
Edo
Edu
Eduard
Edward
Edwin
Eelco
Eelke
Eelke-Dirk
Egbert
Eimert
Elbertus
Elco
Ele
Elfred
Elger
Eli
Elia
Eliam
Elian
Elias
Elimar
Elke
Elmar
Eloy
Elton
Elvis
Elwin
Emanuel
Emiel
Emil
Emilio
Emond
Enneman
Ennio
Enrico
Enriko
Enzo
Ep
Eppo
Erasmus
Eren
Eric
Erich
Erik
Erik-Paul
Erin
Erjan
Ermbout
Ernest
Ernesto
Erni
Ernie
Erno
Ernst
Ernst-Jan
Eros
Erroll
Erwijn
Erwin
Esau
Esmond
Etiènne
Eugène
Everhard
Evermar
Evert
Ewald
Eward
Ewoud
Ewout
Ezechiël
Ezra
Fabian
Fabianus
Fabio
Falco
Falko
Faramond
Fasco
Fastwin
Fecco
Fedde
Feddo
Feie
Feiko
Felipe
Felix
Fenno
Ferdie
Ferdinand
Ferdy
Fergus
Fernand
Fernando
Ferried
Ferry
Fhilip
Fidel
Filibert
Filip
Firmijn
Fjodor
Flip
Florent
Florian
Floris
Floyd
Fokke
Folbert
Folke
Folkerd
Folkert
Folly
Folmer
Fons
Foort
Foppe
Former
Frambert
Francesco
Franciscus
Franco
François
Frank
Franke
Frank-Jan
Franklin
Frans
Freark
Fred
Freddie
Freddy
Frederik
Freek 
Frerik
Frido
Fried
Friso
Frits
Frodo
Fulco
Gabe
Gábor
Gabriël
Gabrio
Gaby
Gaëtan
Gaétano
Gandert
Gareth
Garm
Gary
Gaston
Gavin
Gavin
Gebren
Geerd
Geert
Geert-Jan
Gelmar
Geo
Geoffrey
Geoffry
George
Georgius
Gerard
Gerardo
Gerben
Gerbrand
Gerco
Gerhard
Gerjen
Gerjo
Gerko
Germain
Germen
Géron
Geronimo
Gerrald
Gerrit
Gert
Gert-Jan
Gerton
Gerwin
Gerwout
Geurt
Gianni
Gideon
Gidion
Gido
Giel
Giel-Jan
Gijs
Gijsbert
Gijsbrecht
Gilian
Gilles
Gino
Giorgio
Giovanni
Gisbert
Gitroy
Giuseppe
Givan
Gjelt
Glenn
Godfried
Gonneke
Goof
Goos
Göran
Gorden
Gordon
Gorik
Gosse
Goswin
Govert
Gradus
Graham
Grego
Gregoor
Guido
Guillermo
Gunnar
Gunner
Gustaaf
Gustav
Guus
Guust
Guy
Gydo
Habbo
Haico
Hajo
Haldor
Halling
Halver
Hank
Hannes
Hannibal
Hanno
Hans
Harald
Harce
Harco
Harm
Harmen
Harrie
Harrold
Harry
Harvey
Hayem
Hayo
Hector
Heert
Heilo
Heimerick
Hein
Heino
Heinz
Hektor
Helmert
Hendrik
Henk 
Henny
Henri
Henrik
Henry
Hent
Herbert
Herman
Hero
Herwin
Hidde
Hielke
Hilbert
Hilbrand
Hilco
Hildebrand
Hildo
Hinne
Holmer
Honoré
Horace
Howard
Hubert
Hubertus
Hubus
Hugh
Hugo
Huib
Huibertus
Huig
Humphrey
Huub
Huug
Hylke
Iain
Ian
Ibe
Ibo
Ibrahim
Idar
Ido
Ids
Idse
Idwer
Idzard
Iepe
Ies
Iewe
Ignaas
Ignace
Ignatius
Ignats
Ignaz
Igor
Ijsbert
Ijsbrand
Ijsbrecht 
Ilbert
Ilco
Ilja
Iman
Ime
Immanuël
Imme
Imre
Ingemar
Ingmar
Ingor
Iody
Ipke
Irmin
Irmo
Irving
Irwin
Isaac
Isac
Isai
Isbert
Ischa
Iskander
Ismaël
Israël
Itse
Ivan
Ivanhe
Ivar
Ive
Ivo
Ivor
Iwan
Iwo
Izaak
Izar
Izo
Jaap
Jacco
Jack
Jaco
Jacob 
Jafet
Jaime
Jaïr
Jairo
Jake
Jakko
James
Jamie
Jamy
Jan
Jan-Jaap
Jan-Kees
Jan-Maurits
Jannick
Janus
Jan-Willem
Jaques
Jarco
Jari
Jarmo
Jarno
Jaro
Jarre
Jason
Jaspar
Jasper
Javan
Javier
Jay
Jaydey
Jean
Jean-Paul
Jef
Jeff
Jeffrey 
Jeffry
Jelco
Jelle
Jelmar
Jelmer
Jeremy
Jerfi
Jeroen 
Jerôme
Jerry
Jerven
Jesper
Jesse
Jilles
Jilles
Jim
Jimme
Jimmy
Jip
Jiri
Joachim
Jochem
Jochem
Joël
Joeri
Joeri
Joey
Johan
Johannes
Johanthan
John
Johnny
Jonas
Jonny
Joop
Joost
Joran
Jordi
Jordy
Joren
Jorge 
Jörgen
Joris
Jorn
Jos
José
Josh
Joshua
Josua
Jowan
Jozef
Juan
Jules
Juliaan
Julian
Julio
Julius
Jurgen
Jurre
Jurriaan
Jurrien
Justus
Juul
Kai
Kaj
Karel 
Karl
Kars
Karsten
Kas
Kaspar
Kasper 
Kay
Kees 
Keith
Ken
Kenneth
Kenny
Kevin
Kilian
Kjeld
Kjell
Klaas
Kloris 
Knud
Ko
Kobus 
Koen
Koenraad 
Koert 
Konraad
Koos
Korneel
Kornelis
Krijn
Kris
Kristoffel
Kuno
Kurd
Kurijn 
Kurt
Kwint 
Kwinton
Kyle
Kyrill
Laban
Lambert 
Lammert
Lando
Larry
Lars
Laurens
Laurent
Laurentinus
Laurents
Lawrence
Leander
Leandro
Lee
Leen
Leendert
Leeroy
Leindert 
Len
Lenhard
Lennaert
Lennard
Lens 
Lentin
Leo
Leon
Leonard
Leonardo
Leopold 
Leroy
Lesley
Leslie
Lester
Levi
Levy
Lewis
Lex
Liam
Lieuwco
Lieuwe
Lino
Lionel
Livai
Llioyd
Lode
Lodewijk
Loe
Loek 
Lorenzo
Lothar
Lou
Louis
Lourens
Luc
Luca
Lucas
Lucian
Luciano
Lucien 
Ludger
Ludo
Ludwig
Luigi
Luk
Lukas
Luke
Lute
Lutger
Luud
Luuk
Luwe
Maarten
Machiel
Maik
Maikel
Maiko
Maino 
Malcolm
Manfred
Marc
Marcel
Marcello
Marciano
Marco
Marcus
Marijn
Marino
Marinus
Mario
Marius
Mark
Marko
Markus
Marlon
Marnik
Marnix
Mart
Martijn
Martin
Martinus
Marvin
Massimo
Mateo
Mathieu
Mathijs
Mathy
Mats
Matt
Matthé 
Mattheus
Matthew
Matthieu
Matthijs
Matti
Maurice
Maurits
Mauro
Max
Maxim
Mees
Mel
Melchior
Melvin
Menno 
Meo
Merijn
Micha
Michael
Michel
Michiel
Mick
Midas
Mikey
Miklas
Milan
Miles
Milko
Miquel
Mitch
Mitchell
Morbert
Moreno
Morgan
Morris
Morrisen
Mustafa
Mykom
Mylan
Myron
Nabor
Naftali
Nander
Nando
Nanko
Nanne
Nash
Nathan
Neal
Neal
Neeles
Neil
Nelson
Nemo
Nevil
Nevin
Nicander
Nick
Nico
Niek
Niels
Nigel
Nijs
Nikay
Niko
Nikolai
Nikos
Nino
Nisse
Noë
Noël
Nol
Norbert 
Norman 
Norris
Noud
Nuno
Nur
Obe
Oberon
Ocker
Ode
Odemar
Odo
Oeble
Oger
Ogier
Oike
Okan
Okke
Okker
Okko
Olaf
Olav
Olchert
Oldrick 
Ole
Olf
Olger
Oliver
Olivier
Olle
Ollee
Ollie
Olmo
Olof
Omar
Oncko
Onne
Onno
Orban 
Orlando
Ornan
Orso
Oscar
Oskar
Osmond
Oswald
Oswin
Ot
Otis
Otmar
Otte
Otto
Otwin
Ouke
Ovain 
Owen
Pabe
Pablo
Paco
Palmiro
Paolo
Pascal
Patrick
Paul
Paulus
Pavel
Pax
Pedro
Peer
Pelle
Pepijn
Pepito
Per
Percy
Perry
Peter
Phil
Philibert
Philip
Philo
Phocas
Pierre
Piet
Pieter
Pieterjan
Pim
Pio
Pippijn
Pjotr
Plym
Pol
Pontiaan
Poppe
Pyke
Qudo
Quentijn
Quentin
Quido
Quin
Quincy
Quint
Quinten
Quintijn
Quintin
Quintus
Quirien
Quirijn
Quirinus
Quiryn
Quy 
Radalf
Radboud
Rafaël
Ragnar
Raimond
Rainier
Ralf
Ralph
Ramon
Ramses
Ramzi
Randall
Randy
Raoul
Rashied
Ray
Raymond
Reggo
Reggy
Reidert
Rein
Reinaart
Reinhard
Reinier
Reinout
Remco
Remi
Remon
Remy
Renaldo
Renato
René
Renier
Rens
Rewie
Rex
Ricardo
Richard
Richie
Rick
Ricky
Rico
Rien
Rienk
Ries
Rijk
Rik
Rikkie
Rikus
Rinaldo
Ritsert
Roald
Roan
Rob
Robbe
Robbert
Robby
Robert
Robin
Robrecht
Rocco
Roderick
Roderik
Rodger
Rodney
Rody
Roel
Roeland
Roelof
Rogier
Roland
Rolf
Romain
Romano
Romar
Romeo
Ronald
Rover
Rowan
Roy
Ruben
Rudi
Rudolf
Rudy
Rufus
Rumo
Rutger
Ruud
Ryan
Rynald
Sacha
Saco
Sagar
Salves
Sam
Sammy
Samuel
Sander
Sandor
Sandro
Saris
Sasse
Saul
Savino
Scott
Sean
Sebastiaan
Seike
Selmar
Sem
Senne
Seppo
Serge
Sergio
Seth
Shane
Sibe
Sibrand
Sibren
Sicco
Sieb
Siebe
Siebrand
Siegfried 
Siem
Sigert
Sijbrand
Sikko
Sil
Silvano
Silvanus
Silvester
Silvio
Simon
Sivar
Sjaak
Sjakko
Sjors
Sonny
Staffan
Stan
Stanley
Stef
Stefan
Stefano
Stein
Steinar
Stephan
Steve
Steven
Stevie
Stijn
Stijn
Stuart
Sven
Swan
Sybrand
Sybren
Sydney
Sylvan
Sylvano
Sylvanus
Sylvester
Symon
Tabbe
Taco
Tale
Talis
Tammo
Tanno
Taylor
Ted
Teddy
Temmo
Teo
Teodor
Terence
Teun
Teunis
Tewis
Theis
Theo
Thierry
Thijmen
Thijs
Thimo
Thimo
Thomas
Thomé
Thorben
Thorvald
Thur
Thymen
Ties
Tijl
Tijmen
Tijn
Tika
Tim
Timo
Timon
Timothy
Tinco
Tjalve
Tjarco
Tjark
Tjeerd
Tjerk
Tjeu
Tobias
Toby
Tom
Tommy
Ton
Toni
Tony
Toon
Trevor
Tristan
Twan
Tycho
Tygo
Tyke
Tymen
Tyrone
Ubbo
Ube
Uberto
Ubo
Udo
Ugo
Ulbe
Ulco
Ulrich
Umberto
Unico
Urban
Urbanus
Uri
Uriël
Urlas
Ursel 
Ursul
Ursus
Utse
Uuldrik
Valdemar
Valen
Valentijn
Valentino
Valko
Valten
Vasco
Vester
Vic
Victor
Vidal
Vidar
Vikas
Vilmar
Vilmos
Vinant
Vince
Vincent
Vinnie
Vinny
Vital
Vito
Vitorio
Volker
Volkert
Volmar
Volmer
Vulko
Wabe
Wald
Waldo
Wale
Wallace
Wally
Walt
Walt
Walter
Wanne
Ward
Warin
Warner
Warner
Warren
Wate
Wayne
Webbo
Welmer
Wemmer
Wendel
Werner
Wes
Wesley
Wessel
Wiard
Wibald
Wibe
Wibo
Wibren
Wieb
Wiebe
Wieger
Wiegert 
Wieland
Wienand
Wiep 
Wietse
Wijnand
Wijtse 
Wil
Wilber
Wilbert 
Wilco
Wilfred
Wilfried
Wilhelm
Wilhelmus
Wiljan
Willard 
Willem
William
Willibrord
Willy
Wim
Winand
Winfred
Winnie
Winston
Wob
Wobbe
Wolter 
Wout 
Wouter
Wubbo 
Wybe
Wyko
Xander
Xandrijn
Xaveer
Xaver
Xavier 
Yakunu
Yanick
Yank
Yannick
Yannide
Yari
Yassine
Ybo
Yco
Yehudi
Yentl
Yesin
Yge
Yme
Ymte
Yoeri
Yoram
Yordi
Yorick
Yorit
Yoshi
Yossi
Youk
Youp
Youri
Ype
Ysbert
Ysbrand
Ysbrecht
Ysé
Yuri
Yvan
Yvar
Yves
Yvo
Ywan
Zach
Zacharaya
Zacharias
Zachary
Zack
Zadok
Zagarja
Zander
Zeb
Zeger
Zegert
Zeno
Zephier
Zias
Zico
Ziggy
Zilvester
Zjene
Zjuul
Zono
Zoran
Zorn
Zweder
